file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,img_tutorial.stopped,p_port.started,p_port.stopped,mov_target.started,mov_target.stopped,p_port_2.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,primary.started,primary.stopped,img_primary_wheel.started,img_primary_wheel.stopped,click_1.started,click_1.stopped,p_port_4.started,p_port_4.stopped,txt_iwi.started,txt_iwi.stopped,p_port_3.started,p_port_3.stopped,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,secondary.started,secondary.stopped,img_secondary_wheel.started,img_secondary_wheel.stopped,click_2.started,click_2.stopped,primary_pos.started,primary_pos.stopped,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
stimoli/03.practice/F04-Joy-Face Forward.mp4,joy,full,femmina,9,6,700,700,59,0,0,0,0,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,185.8859707643005,None,0.004183291464869399,0.017277646773436572,192.33550556925456,None,0.00583953850036778,0.015375331320683472,110.0,86.0,1,0,0,3.5739260486125204,click_1,0.00583953850036778,None,198.35059490055846,None,198.35059490055846,None,0.004747112737277348,0.009696385181086953,201.92160257512205,None,0.005877385310668615,0.011988362425654486,113.0,87.0,1,0,0,2.682833776803818,click_2,0.005877385310668615,None,202.42344231504467,None,202.42344231504467,None,202.42344231504467,None,0.004651854236726649,0.009505226707915426,,,04,001,moebius,23,m,13,1,sofia,2022_Nov_07_1031,CPO_EEG,2020.1.3,143.72923235788303,
stimoli/03.practice/F04-Disgust-Face Forward.mp4,disgust,full,femmina,9,6,700,700,58,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,0.00512837125279475,0.00984222369879717,206.68628617577815,None,0.006172141410388576,0.012548046205665742,-118.0,171.0,1,0,0,5.177909842480403,click_1,0.006172141410388576,None,212.70861290794346,None,212.70861290794346,None,0.005530028558496269,0.011289158620456874,217.8868992941243,None,0.006095485579862725,0.012400187051753164,-104.0,169.0,1,0,0,4.174346789692208,click_2,0.006095485579862725,None,218.38868964075027,None,218.38868964075027,None,218.38868964075027,None,0.005357152020224021,0.010981252356941695,,,04,001,moebius,23,m,13,1,sofia,2022_Nov_07_1031,CPO_EEG,2020.1.3,143.72923235788303,
stimoli/03.practice/F04-Surprise-Face Forward.mp4,surprise,full,femmina,9,6,700,700,61,0,0,0,0,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,0.002339702716199099,0.005994806647322548,224.1580425115908,None,0.006188178194861393,0.012611872607521946,26.0,-100.0,1,0,0,7.2200513048810535,click_1,0.006188178194861393,None,230.38175565585334,None,230.38175565585334,None,0.005411677087977296,0.011065285108088574,237.60202441953243,None,0.006109277215728071,0.012458560949198727,17.0,-94.0,1,0,0,4.571621562675318,click_2,0.006109277215728071,None,238.1038086721801,None,238.1038086721801,None,238.1038086721801,None,0.005309362402840634,0.010882465764552762,,,04,001,moebius,23,m,13,1,sofia,2022_Nov_07_1031,CPO_EEG,2020.1.3,143.72923235788303,
stimoli/03.practice/F04-Neutral-Face Forward.mp4,neutral,full,femmina,9,6,700,700,62,0,0,0,0,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,0.0057017504468603875,0.009635252957195917,244.26050762196246,None,0.006173103617584275,0.012551253562378406,-3.0,0.0,1,0,0,2.1880582404692177,click_1,0.006173103617584275,None,250.28644487579822,None,250.28644487579822,None,0.005433166379589238,0.011079397478169994,252.47478151484756,None,0.006101900295107043,0.012427128851413727,1.0,0.0,1,0,0,1.9650523184063786,click_2,0.006101900295107043,None,252.97660682166315,None,252.97660682166315,None,252.97660682166315,None,0.005418733272563259,0.011045399494832964,,,04,001,moebius,23,m,13,1,sofia,2022_Nov_07_1031,CPO_EEG,2020.1.3,143.72923235788303,
stimoli/03.practice/F04-Sadness-Face Forward.mp4,sadness,full,femmina,9,6,700,700,60,0,0,0,0,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,0.004412874072841078,0.01772885774335009,256.5715724901147,None,0.006179839067044668,0.012575950211612508,-31.0,-149.0,1,0,0,6.572078931770193,click_1,0.006179839067044668,None,262.58946697576994,None,262.58946697576994,None,0.005413922237494262,0.011089019549217483,269.1618217402347,None,0.006037111684236152,0.012292419860386872,-38.0,-135.0,1,0,0,2.3971172917590593,click_2,0.006037111684236152,None,269.6635338273518,None,269.6635338273518,None,269.6635338273518,None,0.005332776107934478,0.01088374870687403,,,04,001,moebius,23,m,13,1,sofia,2022_Nov_07_1031,CPO_EEG,2020.1.3,143.72923235788303,
stimoli/03.practice/F04-Anger-Face Forward.mp4,anger,full,femmina,9,6,700,700,57,0,0,0,0,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,0.0008805477646092186,0.004764015508044395,273.6437367375793,None,0.006193951438035583,0.012598722445545718,-23.0,102.0,1,0,0,4.3208492311323425,click_1,0.006193951438035583,None,279.66809661328716,None,279.66809661328716,None,0.005395640304413973,0.011017816226740251,283.9891677935175,None,0.006111843099461112,0.01244541078358452,-14.0,100.0,1,0,0,1.6164709965132715,click_2,0.006111843099461112,None,284.4909453107157,None,284.4909453107157,None,284.4909453107157,None,0.005379924255066726,0.011005307534105668,,,04,001,moebius,23,m,13,1,sofia,2022_Nov_07_1031,CPO_EEG,2020.1.3,143.72923235788303,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,114.00175442422824,04,001,moebius,23,m,13,1,sofia,2022_Nov_07_1031,CPO_EEG,2020.1.3,143.72923235788303,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,moebius,23,m,13,1,sofia,2022_Nov_07_1031,CPO_EEG,2020.1.3,143.72923235788303,
stimoli/01.full/F01-Surprise-Face Forward.mp4,surprised,full,femmina,1,6,720,576,49,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,48,,,0.0024014443370106164,0.01400598236159567,408.737500609398,None,0.0059203638938925,0.012050585150063853,15.0,-135.0,1,0,0,5.8879917198873954,click_1,0.0059203638938925,None,414.7536660089445,None,414.7536660089445,None,0.004535427181508567,0.009318237800471252,420.6421510203245,None,0.005809068608868984,0.011844031365399132,22.0,-130.0,1,0,0,3.12890142894139,click_2,0.005809068608868984,None,421.14395163049176,None,421.14395163049176,None,421.14395163049176,None,0.004389813176203461,0.008996219165965158,,,04,001,moebius,23,m,13,1,sofia,2022_Nov_07_1031,CPO_EEG,2020.1.3,143.72923235788303,
stimoli/02.subtle/JF1_Disgust.mp4,disgusted,subtle,femmina,5,10,1646,926,9,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,8,,,0.005452442592286388,0.00965151425498334,426.06910859853906,None,0.006189461139001651,0.012589100375407725,-25.0,-99.0,1,0,0,8.481383538304726,click_1,0.006189461139001651,None,436.8950036435572,None,436.8950036435572,None,0.005394357360273716,0.010994081784701848,445.37665659984214,None,0.006132370185696345,0.012535537514850148,-25.0,100.0,1,0,0,3.3449153129477054,click_2,0.006132370185696345,None,445.8784886421072,None,445.8784886421072,None,445.8784886421072,None,0.005347850686121092,0.010943405545731366,,,04,001,moebius,23,m,13,1,sofia,2022_Nov_07_1031,CPO_EEG,2020.1.3,143.72923235788303,
