file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,img_tutorial.stopped,p_port.started,p_port.stopped,mov_target.started,mov_target.stopped,p_port_2.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,primary.started,primary.stopped,img_primary_wheel.started,img_primary_wheel.stopped,click_1.started,click_1.stopped,p_port_4.started,p_port_4.stopped,txt_iwi.started,txt_iwi.stopped,p_port_3.started,p_port_3.stopped,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,secondary.started,secondary.stopped,img_secondary_wheel.started,img_secondary_wheel.stopped,click_2.started,click_2.stopped,primary_pos.started,primary_pos.stopped,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
stimoli/03.practice/F04-Anger-Face Forward.mp4,anger,full,femmina,9,6,700,700,57,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,147.21931918922564,None,0.005218210732891748,0.010285867153470463,156.2512890450098,None,0.005798232863526209,0.011900268521458202,-27.0,151.0,1,0,0,12.026605516945892,click_1,0.005798232863526209,None,162.27925801812307,None,162.27925801812307,None,0.00471606370228983,0.009707705276014167,174.3064071855515,None,0.005859493773641589,0.011948379184104851,-130.0,82.0,1,0,0,10.196378421790541,click_2,0.005859493773641589,None,174.80823988104476,None,174.80823988104476,None,174.80823988104476,None,0.004589693027810426,0.009446945486160985,,,06_control,001,control,40,f,14,1,alice e filo,2023_Mar_20_1123,CPO_EEG,2020.1.3,143.73294854711418,
stimoli/03.practice/F04-Disgust-Face Forward.mp4,disgust,full,femmina,9,6,700,700,58,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,0.006373315645760158,0.010954412902719923,186.6779504344713,None,0.006199155048307148,0.012636682391530485,-128.0,78.0,1,0,0,2.5714603702845125,click_1,0.006199155048307148,None,192.69843274706727,None,192.69843274706727,None,0.00525714828290802,0.01076164951609826,195.27011538861188,None,0.0061180083976069,0.012512556882029457,-122.0,82.0,1,0,0,6.669290836010077,click_2,0.0061180083976069,None,195.77189131352316,None,195.77189131352316,None,195.77189131352316,None,0.0051888311418224475,0.010640410647283716,,,06_control,001,control,40,f,14,1,alice e filo,2023_Mar_20_1123,CPO_EEG,2020.1.3,143.73294854711418,
stimoli/03.practice/F04-Joy-Face Forward.mp4,joy,full,femmina,9,6,700,700,59,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,0.004086968682713632,0.007796621477609733,204.06141967507938,None,0.006191457342538342,0.012633154276045389,112.0,82.0,1,0,0,8.258899831035706,click_1,0.006191457342538342,None,210.0820440744983,None,210.0820440744983,None,0.005410781663158559,0.011074368820118252,218.3411722708097,None,0.006113838807323191,0.012499406634560728,119.0,82.0,1,0,0,6.808107737092541,click_2,0.006113838807323191,None,218.84292766850558,None,218.84292766850558,None,218.84292766850558,None,0.005345030425814912,0.010924905030151422,,,06_control,001,control,40,f,14,1,alice e filo,2023_Mar_20_1123,CPO_EEG,2020.1.3,143.73294854711418,
stimoli/03.practice/F04-Sadness-Face Forward.mp4,sadness,full,femmina,9,6,700,700,60,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,0.00030726676504855277,0.0043556186219575466,227.28864120094477,None,0.0061481577477024985,0.012508387292655243,-34.0,-145.0,1,0,0,10.695953444273982,click_1,0.0061481577477024985,None,233.3139409945179,None,233.3139409945179,None,0.005368123544030823,0.010990977006258618,244.0101840649786,None,0.0061103106918380945,0.012472785401769215,-88.0,-54.0,1,0,0,5.156050140290972,click_2,0.0061103106918380945,None,244.5119019363574,None,244.5119019363574,None,244.5119019363574,None,0.005318729929967958,0.010892510516896436,,,06_control,001,control,40,f,14,1,alice e filo,2023_Mar_20_1123,CPO_EEG,2020.1.3,143.73294854711418,
stimoli/03.practice/F04-Neutral-Face Forward.mp4,neutral,full,femmina,9,6,700,700,62,0,0,0,0,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,0.003256001325098623,0.0070615547065244755,251.28204747431846,None,0.006063803720280703,0.012366621208457218,4.0,1.0,1,0,0,2.7591156875396337,click_1,0.006063803720280703,None,257.3071638058991,None,257.3071638058991,None,0.005426818551313772,0.011078538411311456,260.0666294183229,None,0.006128592744971684,0.012498444422817556,-1.0,-1.0,1,0,0,1.3725109147053445,click_2,0.006128592744971684,None,260.5684091920866,None,260.5684091920866,None,260.5684091920866,None,0.005383839691603498,0.011034597338948515,,,06_control,001,control,40,f,14,1,alice e filo,2023_Mar_20_1123,CPO_EEG,2020.1.3,143.73294854711418,
stimoli/03.practice/F04-Surprise-Face Forward.mp4,surprise,full,femmina,9,6,700,700,61,0,0,0,0,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,0.0007469982165275724,0.005018583546188893,263.54472591676404,None,0.006171250865008915,0.012567403037792246,37.0,-130.0,1,0,0,2.8777848054978676,click_1,0.006171250865008915,None,269.76576939212464,None,269.76576939212464,None,0.005431629616396094,0.011091047183072078,272.64380950487066,None,0.006092028640523495,0.01240767563922418,0.0,0.0,1,0,0,1.6232210280795698,click_2,0.006092028640523495,None,273.14550428313123,None,273.14550428313123,None,273.14550428313123,None,0.005301410091306025,0.010849531659005152,,,06_control,001,control,40,f,14,1,alice e filo,2023_Mar_20_1123,CPO_EEG,2020.1.3,143.73294854711418,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,43.84598718588495,06_control,001,control,40,f,14,1,alice e filo,2023_Mar_20_1123,CPO_EEG,2020.1.3,143.73294854711418,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06_control,001,control,40,f,14,1,alice e filo,2023_Mar_20_1123,CPO_EEG,2020.1.3,143.73294854711418,
stimoli/01.full/M02-Neutral-Face Forward.mp4,neutral,full,maschio,3,6,720,576,55,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,54,,,0.004198072237159067,0.006858912595816946,328.426034988639,None,0.005869757382242824,0.011959605006268248,1.0,5.0,1,0,0,2.103136109553816,click_1,0.005869757382242824,None,334.44832658287214,None,334.44832658287214,None,0.004601239587827877,0.009455926143346005,336.5520740185739,None,0.005825816310789378,0.011898023358298815,0.0,0.0,1,0,0,0.7169056376715162,click_2,0.005825816310789378,None,337.05360457910865,None,337.05360457910865,None,337.05360457910865,None,0.004458190550394647,0.009153470446108258,,,06_control,001,control,40,f,14,1,alice e filo,2023_Mar_20_1123,CPO_EEG,2020.1.3,143.73294854711418,
stimoli/02.subtle/JM2_Surprise.mp4,surprised,subtle,maschio,8,10,1646,926,24,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,23,,,0.004651210528209049,0.007158417505706893,339.3817558595574,None,0.006228662921785144,0.012692811497799994,0.0,0.0,1,0,0,0.7939266382963979,click_1,0.006228662921785144,None,350.36774603471895,None,350.36774603471895,None,0.005468514457788842,0.01116353391444136,351.16189141615996,None,0.006177986358125054,0.012598514599631017,28.0,-111.0,1,0,0,10.850627619625811,click_2,0.006177986358125054,None,351.66337963931073,None,351.66337963931073,None,351.66337963931073,None,0.005324503209521936,0.010880643219934427,,,06_control,001,control,40,f,14,1,alice e filo,2023_Mar_20_1123,CPO_EEG,2020.1.3,143.73294854711418,
