file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,img_tutorial.stopped,p_port.started,p_port.stopped,mov_target.started,mov_target.stopped,p_port_2.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,primary.started,primary.stopped,img_primary_wheel.started,img_primary_wheel.stopped,click_1.started,click_1.stopped,p_port_4.started,p_port_4.stopped,txt_iwi.started,txt_iwi.stopped,p_port_3.started,p_port_3.stopped,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,secondary.started,secondary.stopped,img_secondary_wheel.started,img_secondary_wheel.stopped,click_2.started,click_2.stopped,primary_pos.started,primary_pos.stopped,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
stimoli/03.practice/F04-Sadness-Face Forward.mp4,sadness,full,femmina,9,6,700,700,60,0,0,0,0,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,257.5114230382619,None,0.006486098319783196,0.013735068915138982,275.49007255706056,None,0.005895108829463425,0.012056461209340341,-32.0,-191.0,1,0,0,6.21622177276322,click_1,0.005895108829463425,None,281.5142452006562,None,281.5142452006562,None,0.0064158890404542035,0.007796981354204036,287.7274267100556,None,0.005935521656283527,0.01206736625817939,-34.0,-51.0,1,0,0,10.424004000228251,click_2,0.005935521656283527,None,288.23290777985403,None,288.23290777985403,None,288.23290777985403,None,0.004660913932639232,0.00955792216473128,,,09_control,001,control,18,m/f,18,1,thomas,2023_Apr_17_1018,CPO_EEG,2020.1.3,143.73340955302487,
stimoli/03.practice/F04-Surprise-Face Forward.mp4,surprise,full,femmina,9,6,700,700,61,0,0,0,0,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,0.005978532450626517,0.01027864964771652,300.29004830936447,None,0.006191469557961682,0.012603638052496535,41.0,-204.0,1,0,0,5.247014422247048,click_1,0.006191469557961682,None,306.51442673763904,None,306.51442673763904,None,0.005452812893054215,0.011138191981444834,311.76170223957615,None,0.006156188519071293,0.01250517187963851,2.0,1.0,1,0,0,2.891601573149728,click_2,0.006156188519071293,None,312.2634387081748,None,312.2634387081748,None,312.2634387081748,None,0.005377119027343724,0.01095857941891154,,,09_control,001,control,18,m/f,18,1,thomas,2023_Apr_17_1018,CPO_EEG,2020.1.3,143.73340955302487,
stimoli/03.practice/F04-Joy-Face Forward.mp4,joy,full,femmina,9,6,700,700,59,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,0.006064233301458444,0.009938732871887623,316.77367309615465,None,0.0061921110318508,0.012621599309113662,167.0,114.0,1,0,0,7.449590451283257,click_1,0.0061921110318508,None,322.79450077650336,None,322.79450077650336,None,0.0054428700545940956,0.011126324722681602,330.24436000515743,None,0.006149453047783027,0.012504209669714328,-1.0,-1.0,1,0,0,9.310416694730975,click_2,0.006149453047783027,None,330.7461477916313,None,330.7461477916313,None,330.7461477916313,None,0.005343120934867329,0.01087999892206426,,,09_control,001,control,18,m/f,18,1,thomas,2023_Apr_17_1018,CPO_EEG,2020.1.3,143.73340955302487,
stimoli/03.practice/F04-Anger-Face Forward.mp4,anger,full,femmina,9,6,700,700,57,0,0,0,0,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,0.0022712008576490916,0.006292277108968847,341.6793598223376,None,0.0061908280849820585,0.012590808584263868,-40.0,194.0,1,0,0,7.525478042043233,click_1,0.0061908280849820585,None,347.70133253277436,None,347.70133253277436,None,0.005457944680529181,0.011141078611672128,355.22708352176596,None,0.006142396840004949,0.01249522904117839,-52.0,78.0,1,0,0,3.5744805187723614,click_2,0.006142396840004949,None,355.728806198686,None,355.728806198686,None,355.728806198686,None,0.005361723664918827,0.010938693741991301,,,09_control,001,control,18,m/f,18,1,thomas,2023_Apr_17_1018,CPO_EEG,2020.1.3,143.73340955302487,
stimoli/03.practice/F04-Disgust-Face Forward.mp4,disgust,full,femmina,9,6,700,700,58,0,0,0,0,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,0.0027128873939545883,0.0064661484848329565,360.9184805931832,None,0.006240542275918415,0.012702424961844372,-84.0,121.0,1,0,0,7.804940435984008,click_1,0.006240542275918415,None,366.9424640021143,None,366.9424640021143,None,0.005465321625251818,0.011147493346470583,374.74761131328205,None,0.0061456042071768024,0.012501964512466657,-55.0,34.0,1,0,0,5.066168947425467,click_2,0.0061456042071768024,None,375.2493679882941,None,375.2493679882941,None,375.2493679882941,None,0.005383854499086738,0.010954089104870945,,,09_control,001,control,18,m/f,18,1,thomas,2023_Apr_17_1018,CPO_EEG,2020.1.3,143.73340955302487,
stimoli/03.practice/F04-Neutral-Face Forward.mp4,neutral,full,femmina,9,6,700,700,62,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,0.002683283395072067,0.006736112581620546,381.95157709452315,None,0.006239259329049673,0.012662653608913388,1.0,0.0,1,0,0,7.818167939029536,click_1,0.006239259329049673,None,387.97598547960706,None,387.97598547960706,None,0.00546820825593386,0.011152304397455737,395.7944157812726,None,0.006135340631772124,0.012481116625622235,0.0,0.0,1,0,0,2.173913392105078,click_2,0.006135340631772124,None,396.29614358998015,None,396.29614358998015,None,396.29614358998015,None,0.005205524882512691,0.010595826189273794,,,09_control,001,control,18,m/f,18,1,thomas,2023_Apr_17_1018,CPO_EEG,2020.1.3,143.73340955302487,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,89.39962095334522,09_control,001,control,18,m/f,18,1,thomas,2023_Apr_17_1018,CPO_EEG,2020.1.3,143.73340955302487,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09_control,001,control,18,m/f,18,1,thomas,2023_Apr_17_1018,CPO_EEG,2020.1.3,143.73340955302487,
stimoli/02.subtle/JM1_Fear.mp4,fear,subtle,maschio,7,10,1646,926,3,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,2,,,0.0048787903870106675,0.00995701486544931,497.66628883881094,None,0.005960218383279425,0.012111948661640781,-76.0,-124.0,1,0,0,4.041313134617667,click_1,0.005960218383279425,None,508.08567743764706,None,508.08567743764706,None,0.004550901237962535,0.009322501412952988,512.1274861104962,None,0.0058543752656987635,0.011951580302138609,19.0,-90.0,1,0,0,6.012905483378745,click_2,0.0058543752656987635,None,512.6292097496262,None,512.6292097496262,None,512.6292097496262,None,0.004568541757635103,0.009325067306690471,,,09_control,001,control,18,m/f,18,1,thomas,2023_Apr_17_1018,CPO_EEG,2020.1.3,143.73340955302487,
stimoli/01.full/F03-Sadness-Face Forward.mp4,sad,full,femmina,2,6,720,576,46,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,45,,,0.00033651696639935835,0.0040448749164170295,520.2666810356714,None,0.006226429860362259,0.012646616772599373,-35.0,-186.0,1,0,0,11.135310803503216,click_1,0.006226429860362259,None,526.2909614468049,None,526.2909614468049,None,0.005544543594623974,0.011286372345693962,537.4265961943947,None,0.006090437491366174,0.012388744450618105,-54.0,-36.0,1,0,0,5.553516525318173,click_2,0.006090437491366174,None,537.9283259275226,None,537.9283259275226,None,537.9283259275226,None,0.005319386417795613,0.010829001783804415,,,09_control,001,control,18,m/f,18,1,thomas,2023_Apr_17_1018,CPO_EEG,2020.1.3,143.73340955302487,
