file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,trigger,loop_practice_full.thisRepN,loop_practice_full.thisTrialN,loop_practice_full.thisN,loop_practice_full.thisIndex,loop_istr_practice.thisRepN,loop_istr_practice.thisTrialN,loop_istr_practice.thisN,loop_istr_practice.thisIndex,tuto.thisRepN,tuto.thisTrialN,tuto.thisN,tuto.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,exp_blocks.thisRepN,exp_blocks.thisTrialN,exp_blocks.thisN,exp_blocks.thisIndex,istr_1.thisRepN,istr_1.thisTrialN,istr_1.thisN,istr_1.thisIndex,istr_2.thisRepN,istr_2.thisTrialN,istr_2.thisN,istr_2.thisIndex,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,img_tutorial.started,img_tutorial.stopped,p_port.started,p_port.stopped,mov_target.started,mov_target.stopped,p_port_2.started,p_port_2.stopped,primary.x,primary.y,primary.leftButton,primary.midButton,primary.rightButton,primary.time,primary.clicked_name,primary.started,primary.stopped,img_primary_wheel.started,img_primary_wheel.stopped,click_1.started,click_1.stopped,p_port_4.started,p_port_4.stopped,txt_iwi.started,txt_iwi.stopped,p_port_3.started,p_port_3.stopped,secondary.x,secondary.y,secondary.leftButton,secondary.midButton,secondary.rightButton,secondary.time,secondary.clicked_name,secondary.started,secondary.stopped,img_secondary_wheel.started,img_secondary_wheel.stopped,click_2.started,click_2.stopped,primary_pos.started,primary_pos.stopped,p_port_5.started,p_port_5.stopped,kb_end_practice.keys,kb_end_practice.rt,participant,session,group,age,sex,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
stimoli/03.practice/F04-Anger-Face Forward.mp4,anger,full,femmina,9,6,700,700,57,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1493.3729234702914,None,0.004045067358674714,0.008723012411792297,1498.2239345286544,None,0.005852098038303666,0.011998375790426508,-30.0,129.0,1,0,0,19.038312001132,click_1,0.005852098038303666,None,1504.2489863115989,None,1504.2489863115989,None,0.004783082546055084,0.00983179924878641,1523.2877851910707,None,0.005871021501661744,0.012019865149341058,-2.0,1.0,1,0,0,7.2889841049291135,click_2,0.005871021501661744,None,1523.7895809959628,None,1523.7895809959628,None,1523.7895809959628,None,0.004671466169384075,0.009579700188623974,,,07_control,001,control,26,f,17,1,filo e ali,2023_Mar_24_1440,CPO_EEG,2020.1.3,144.1594074261375,
stimoli/03.practice/F04-Disgust-Face Forward.mp4,disgust,full,femmina,9,6,700,700,58,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,0.00018942710812552832,0.005017797680920921,1532.6632444058705,None,0.0061670614923059475,0.012548759998026071,-165.0,115.0,1,0,0,1.679052556562965,click_1,0.0061670614923059475,None,1538.6847940645748,None,1538.6847940645748,None,0.005469779862323776,0.01117472389159957,1540.3641619053305,None,0.006131780453870306,0.012485574865422677,-177.0,108.0,1,0,0,1.5326275842562609,click_2,0.006131780453870306,None,1540.8658454523684,None,1540.8658454523684,None,1540.8658454523684,None,0.005397293363785138,0.011026543528714683,,,07_control,001,control,26,f,17,1,filo e ali,2023_Mar_24_1440,CPO_EEG,2020.1.3,144.1594074261375,
stimoli/03.practice/F04-Surprise-Face Forward.mp4,surprise,full,femmina,9,6,700,700,61,0,0,0,0,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,0.0021237902619759552,0.005731757617468247,1543.9796909509241,None,0.006210040213773027,0.012659414165682392,40.0,-188.0,1,0,0,3.6651242437837936,click_1,0.006210040213773027,None,1550.201558972898,None,1550.201558972898,None,0.005461761447804747,0.011162215159856714,1553.8669026005955,None,0.006113498457125388,0.01246729286867776,40.0,-187.0,1,0,0,1.7278042171747074,click_2,0.006113498457125388,None,1554.3686102028914,None,1554.3686102028914,None,1554.3686102028914,None,0.005483571541844867,0.011201345041627064,,,07_control,001,control,26,f,17,1,filo e ali,2023_Mar_24_1440,CPO_EEG,2020.1.3,144.1594074261375,
stimoli/03.practice/F04-Sadness-Face Forward.mp4,sadness,full,femmina,9,6,700,700,60,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,0.005459067258925643,0.009751807509019272,1557.6820517656233,None,0.006153590547910426,0.012523101060651243,-34.0,-205.0,1,0,0,2.793985352593154,click_1,0.006153590547910426,None,1563.7043602874037,None,1563.7043602874037,None,0.005353993910830468,0.010942831246211426,1566.4986266053675,None,0.006102914150687866,0.012443237621482695,-38.0,-196.0,1,0,0,1.0518746740490315,click_2,0.006102914150687866,None,1567.0003364528166,None,1567.0003364528166,None,1567.0003364528166,None,0.005436102510429919,0.01112436822950258,,,07_control,001,control,26,f,17,1,filo e ali,2023_Mar_24_1440,CPO_EEG,2020.1.3,144.1594074261375,
stimoli/03.practice/F04-Joy-Face Forward.mp4,joy,full,femmina,9,6,700,700,59,0,0,0,0,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,0.00417163006568444,0.007842782557418104,1569.6383735184354,None,0.006184702011523768,0.012587248405907303,143.0,24.0,1,0,0,9.302323545089166,click_1,0.006184702011523768,None,1575.6644458856208,None,1575.6644458856208,None,0.005430329249065835,0.011118594968138495,1584.9670350007145,None,0.006118309509474784,0.01247787718239124,120.0,77.0,1,0,0,1.3864216751280765,click_2,0.006118309509474784,None,1585.4687368297455,None,1585.4687368297455,None,1585.4687368297455,None,0.005435461036540801,0.011085559082857799,,,07_control,001,control,26,f,17,1,filo e ali,2023_Mar_24_1440,CPO_EEG,2020.1.3,144.1594074261375,
stimoli/03.practice/F04-Neutral-Face Forward.mp4,neutral,full,femmina,9,6,700,700,62,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,0.0058404232186148874,0.009621588404115755,1588.439527657447,None,0.006211643896676833,0.012637604071642272,-2.0,2.0,1,0,0,5.77649301339261,click_1,0.006211643896676833,None,1594.4613095295354,None,1594.4613095295354,None,0.005446366081741871,0.011127575591672212,1600.2380283415769,None,0.006110611826443346,0.012492631070927018,4.0,-3.0,1,0,0,1.6025606978219002,click_2,0.006110611826443346,None,1600.7398135621588,None,1600.7398135621588,None,1600.7398135621588,None,0.005395689684519311,0.01105605130942422,,,07_control,001,control,26,f,17,1,filo e ali,2023_Mar_24_1440,CPO_EEG,2020.1.3,144.1594074261375,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,19.193097938241408,07_control,001,control,26,f,17,1,filo e ali,2023_Mar_24_1440,CPO_EEG,2020.1.3,144.1594074261375,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07_control,001,control,26,f,17,1,filo e ali,2023_Mar_24_1440,CPO_EEG,2020.1.3,144.1594074261375,
stimoli/02.subtle/JM1_Neutral.mp4,neutral,subtle,maschio,7,10,1646,926,27,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,26,,,0.002395005230937386,0.004712969501269981,1629.7824859789944,None,0.005964035150100244,0.012156819728261326,17.0,91.0,1,0,0,12.114329490264936,click_1,0.005964035150100244,None,1640.210259918622,None,1640.210259918622,None,0.004455289621546399,0.009145101932517719,1652.3250400439792,None,0.005851456560776569,0.011979131584666902,60.0,12.0,1,0,0,3.972277121658408,click_2,0.005851456560776569,None,1652.8268801105369,None,1652.8268801105369,None,1652.8268801105369,None,0.004595130834786687,0.009427991721167928,,,07_control,001,control,26,f,17,1,filo e ali,2023_Mar_24_1440,CPO_EEG,2020.1.3,144.1594074261375,
stimoli/02.subtle/JF2_Neutral.mp4,neutral,subtle,femmina,6,9,1646,926,26,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,1,25,,,0.006625650858040899,0.01068874361953931,1658.4109413558544,None,0.006222548945515882,0.012662621535127982,-181.0,32.0,1,0,0,3.407758043918875,click_1,0.006222548945515882,None,1667.914234680491,None,1667.914234680491,None,0.005445083137601614,0.011146819801069796,1671.3222332769474,None,0.006139157398138195,0.01253464758337941,-47.0,84.0,1,0,0,3.70055346328445,click_2,0.006139157398138195,None,1671.8240316477313,None,1671.8240316477313,None,1671.8240316477313,None,0.0053725966390629765,0.010958868082525441,,,07_control,001,control,26,f,17,1,filo e ali,2023_Mar_24_1440,CPO_EEG,2020.1.3,144.1594074261375,
